文件,输入MB,输出MB,状态
units\Typhoon_Squad_613_00.png,0.96,0.15,OK
units\Typhoon_Squad_Dornier_01.png,6.12,0.28,OK
units\The_Forger_Squad_White_Hunt_01.png,1.57,0.17,OK
units\Typhoon_Squad_Flameheart_01.png,5.79,0.24,OK
units\Ulster_Squad_Flamme_01.png,6.27,0.32,OK
units\Typhoon_Squad_Dornier_00.png,0.57,0.10,OK
units\Ulster_Squad_Koni_01.png,5.23,0.17,OK
units\Ulster_Squad_Flamme_00.png,0.89,0.14,OK
units\Ulster_Squad_Maeve_01.png,5.64,0.22,OK
units\Typhoon_Squad_Flameheart_00.png,0.93,0.13,OK
units\Ulster_Squad_Koni_00.png,0.58,0.10,OK
units\Ulster_Squad_Maeve_00.png,0.73,0.14,OK
